q,titulo,lic,w,h,fuente,autor,url,pagina
musa plantation aerial,File:Starr-151005-0889-Musa x paradisiaca-aerial view-Maui Tropical Plantation W,by 3.0,4608,3456,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/f/fd/Starr-151005-0889-Musa_x_paradisiaca-aerial_view-Maui_Tropical_Plantation_West_Maui-Maui_%2826282915455%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71969413
coconut plantation aerial,"SAF Base Tengah, Singapore. RNZAF 41 Sqn was located between point A and the run",by-nc-sa 2.0,1024,618,flickr,Gary Danvers,https://live.staticflickr.com/65535/49929180826_761b95e3a9_b.jpg,https://www.flickr.com/photos/63119628@N07/49929180826
coconut plantation aerial,starr-151005-2383-Cocos_nucifera-aerial_view_takeoff-Maui_Tropical_Plantation_LZ,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1717/26010211090_e57c2384f1_b.jpg,https://www.flickr.com/photos/97499887@N06/26010211090
coconut plantation aerial,"Aerial view of Godavari River near Ayodhyalanka, Konaseema, Andhra Pradesh",by-sa 4.0,4032,3024,wikimedia,Pdp79892,https://upload.wikimedia.org/wikipedia/commons/6/6e/Aerial_view_of_Godavari_River_near_Ayodhyalanka%2C_Konaseema%2C_Andhra_Pradesh.jpg,https://commons.wikimedia.org/w/index.php?curid=186630305
coconut plantation aerial,File:Starr-151005-2383-Cocos nucifera-aerial view takeoff-Maui Tropical Plantati,by 3.0,4608,3456,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/7/73/Starr-151005-2383-Cocos_nucifera-aerial_view_takeoff-Maui_Tropical_Plantation_LZ_West_Maui-Maui_%2826010211090%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71970067
oil palm plantation aerial,Drone aerial photo of oil palm plantation by river,by 2.0,1024,768,flickr,DrLianPinKoh,https://live.staticflickr.com/5348/7044645415_856b62e868_b.jpg,https://www.flickr.com/photos/34673037@N04/7044645415
oil palm plantation aerial,Living Planet Report 2010,by-nc-sa 2.0,1024,683,flickr,WWF Deutschland,https://live.staticflickr.com/4041/5078052492_5c3a5a331a_b.jpg,https://www.flickr.com/photos/38732656@N02/5078052492
palm plantation drone,Drone view of rice plantation on bali island with path to walk around and palms.,cc0 1.0,1024,767,flickr,Artem Beliaikin,https://live.staticflickr.com/4850/46229046541_acd43e5a1c_b.jpg,https://www.flickr.com/photos/157635012@N07/46229046541
palm plantation drone,Sunset Comes Early When the Mountains Are Tall,by-nc 2.0,1024,793,flickr,Decaseconds,https://live.staticflickr.com/65535/52568463207_abb687c858_b.jpg,https://www.flickr.com/photos/72509508@N08/52568463207
palm plantation drone,Drone view of rice plantation on bali island with path to walk around and palms.,cc0 1.0,4048,3032,wikimedia,"Artem Beliaikin from Moscow, Russia",https://upload.wikimedia.org/wikipedia/commons/3/36/Drone_view_of_rice_plantation_on_bali_island_with_path_to_walk_around_and_palms._%2846229046541%29.jpg,https://commons.wikimedia.org/w/index.php?curid=105176959
palm plantation drone,Drone view rice plantation bali,cc0 1.0,4048,3032,rawpixel,,https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZmw0NjIyOTA0NjU0MS1pbWFnZS1reWNpeWVhZy5qcGc.jpg,https://www.rawpixel.com/image/6076464/photo-image-background-public-domain-plant
palm plantation drone,DRONE-0499,by-nc 2.0,1024,576,flickr,unredd.photo,https://live.staticflickr.com/65535/53181469942_6f0e1e5ec9_b.jpg,https://www.flickr.com/photos/129189197@N06/53181469942
coconut grove aerial view,starr-120406-9266-Cocos_nucifera-aerial_view_big_groves-Kaunakakai-Molokai,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1483/25045927471_fc501c5c41_b.jpg,https://www.flickr.com/photos/97499887@N06/25045927471
coconut grove aerial view,Aerial view harbor fashionable Coconut,cc0 1.0,8878,5919,rawpixel,Carol M Highsmith,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA5L2xvYzIwMjA3MjEwOTAtaW1hZ2UuanBn.jpg,https://www.rawpixel.com/image/8058329/photo-image-coconut-public-domain-united-states
coconut grove aerial view,File:Starr-120406-9266-Cocos nucifera-aerial view big groves-Kaunakakai-Molokai ,by 3.0,3456,2592,wikimedia,Forest and Kim Starr,https://upload.wikimedia.org/wikipedia/commons/3/30/Starr-120406-9266-Cocos_nucifera-aerial_view_big_groves-Kaunakakai-Molokai_%2825045927471%29.jpg,https://commons.wikimedia.org/w/index.php?curid=71907368
coconut grove aerial view,Aerial view Biscayne Bay Vizcaya,cc0 1.0,8736,5824,rawpixel,Carol M Highsmith,https://images.rawpixel.com/editor_1024/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA5L2xvYzIwMjA3MjA5NzMtaW1hZ2UuanBn.jpg,https://www.rawpixel.com/image/8071779/photo-image-cloud-plant-tree
orchard aerial view rows,20190508-OSEC-LSC-0157,pdm 1.0,1024,767,flickr,USDAgov,https://live.staticflickr.com/65535/46948254145_85e99797cb_b.jpg,https://www.flickr.com/photos/41284017@N08/46948254145
orchard aerial view rows,20150415-NRCS-LSC-0178,pdm 1.0,894,1024,flickr,USDAgov,https://live.staticflickr.com/7701/17116621659_999e6d164d_b.jpg,https://www.flickr.com/photos/41284017@N08/17116621659
orchard aerial view rows,20150415-NRCS-LSC-0164,pdm 1.0,936,1024,flickr,USDAgov,https://live.staticflickr.com/7666/17302385981_c9c9e86c9b_b.jpg,https://www.flickr.com/photos/41284017@N08/17302385981
orchard aerial view rows,20190508-OSEC-LSC-0151,pdm 1.0,1024,683,flickr,USDAgov,https://live.staticflickr.com/65535/32920299897_85c8c6623d_b.jpg,https://www.flickr.com/photos/41284017@N08/32920299897
orchard aerial view rows,20190508-OSEC-LSC-0117,pdm 1.0,683,1024,flickr,USDAgov,https://live.staticflickr.com/65535/47074989824_e685210dbc_b.jpg,https://www.flickr.com/photos/41284017@N08/47074989824
orchard aerial view rows,20190508-OSEC-LSC-0185,pdm 1.0,1024,683,flickr,USDAgov,https://live.staticflickr.com/65535/46948253625_7fb45f2867_b.jpg,https://www.flickr.com/photos/41284017@N08/46948253625
orchard aerial view rows,20190508-OSEC-LSC-0166,pdm 1.0,1024,767,flickr,USDAgov,https://live.staticflickr.com/65535/46948253945_3f10aaa897_b.jpg,https://www.flickr.com/photos/41284017@N08/46948253945
orchard aerial view rows,20190508-OSEC-LSC-0113,pdm 1.0,1024,683,flickr,USDAgov,https://live.staticflickr.com/65535/47864444611_87c5fa47a8_b.jpg,https://www.flickr.com/photos/41284017@N08/47864444611
